,representation,max_depth,max_features,min_samples_split,n_estimators,mean_val_acc,mean_val_tpr,mean_val_tnr
76,X_bot_svd,5,50,15,100,0.9647856374772081,0.7631578947368421,0.9956630668202049
77,X_bot_svd,5,50,15,200,0.9641018747954557,0.7605937921727396,0.9952678099032088
78,X_bot_svd,5,100,5,100,0.9637559025667398,0.7964912280701755,0.9893529613146181
79,X_bot_svd,5,100,5,200,0.9651257655804386,0.8042510121457489,0.9897497743612089
80,X_bot_svd,5,100,10,100,0.9644408340735893,0.7964912280701755,0.9901434751486103
81,X_bot_svd,5,100,10,200,0.9637605778671279,0.7939271255060729,0.9897497743612089
82,X_bot_svd,5,100,15,100,0.9651257655804386,0.8016869095816463,0.9901434751486103
83,X_bot_svd,5,100,15,200,0.9654682313338633,0.7991228070175439,0.9909308767234135
84,X_bot_svd,5,250,5,100,0.9637582402169338,0.7886639676113362,0.9905387320656065
85,X_bot_svd,5,250,5,200,0.9640995371452614,0.7938596491228072,0.9901450312782047
86,X_bot_svd,5,250,10,100,0.9641007059703586,0.7911605937921727,0.990540288195201
87,X_bot_svd,5,250,10,200,0.9641007059703586,0.7912955465587046,0.990540288195201
88,X_bot_svd,5,250,15,100,0.9644420028986861,0.7911605937921727,0.9909339889826025
89,X_bot_svd,5,250,15,200,0.9637582402169338,0.7886639676113362,0.990540288195201
90,X_bot_svd,5,500,5,100,,,
91,X_bot_svd,5,500,5,200,,,
92,X_bot_svd,5,500,10,100,,,
93,X_bot_svd,5,500,10,200,,,
94,X_bot_svd,5,500,15,100,,,
95,X_bot_svd,5,500,15,200,,,
96,X_bot_svd,10,50,5,100,0.9719622235728647,0.8248987854251013,0.9944788521988113
97,X_bot_svd,10,50,5,200,0.9716185889943431,0.8274628879892039,0.9936914506240079
98,X_bot_svd,10,50,10,100,0.9702545701061295,0.8222672064777328,0.9929056051787996
99,X_bot_svd,10,50,10,200,0.970593529384263,0.8197031039136302,0.9936930067536025
100,X_bot_svd,10,50,15,100,0.9723058581513863,0.8300269905533064,0.994086707541004
101,X_bot_svd,10,50,15,200,0.9705946982093601,0.8274628879892039,0.9925103482618033
102,X_bot_svd,10,100,5,100,0.9692271728458554,0.8273279352226719,0.9909324328530079
103,X_bot_svd,10,100,5,200,0.9692271728458554,0.8273279352226719,0.9909324328530079
104,X_bot_svd,10,100,10,100,0.9675218570293141,0.8196356275303642,0.990145031278205
105,X_bot_svd,10,100,10,200,0.9678608163074479,0.8248313090418353,0.9897497743612089
106,X_bot_svd,10,100,15,100,0.967518350554023,0.8196356275303642,0.9901434751486103
107,X_bot_svd,10,100,15,200,0.9671758848005985,0.8196356275303642,0.9897482182316143
108,X_bot_svd,10,250,5,100,0.9685469166393942,0.8091767881241566,0.9929056051787993
109,X_bot_svd,10,250,5,200,0.968545747814297,0.8144399460188934,0.9921166474744016
110,X_bot_svd,10,250,10,100,0.9671770536256954,0.8118083670715249,0.9909339889826025
111,X_bot_svd,10,250,10,200,0.9671782224507925,0.8092442645074224,0.9913292458995986
112,X_bot_svd,10,250,15,100,0.9671770536256954,0.8067476383265857,0.9917229466870001
113,X_bot_svd,10,250,15,200,0.9658095282621908,0.8041160593792173,0.990540288195201
114,X_bot_svd,10,500,5,100,,,
115,X_bot_svd,10,500,5,200,,,
116,X_bot_svd,10,500,10,100,,,
117,X_bot_svd,10,500,10,200,,,
118,X_bot_svd,10,500,15,100,,,
119,X_bot_svd,10,500,15,200,,,
120,X_bot_svd,20,50,5,100,0.9723000140259013,0.8402834008097166,0.9925087921322089
121,X_bot_svd,20,50,5,200,0.9719587170975735,0.8351551956815115,0.9929040490492049
122,X_bot_svd,20,50,10,100,0.97161975781944,0.8377192982456139,0.9921150913448074
123,X_bot_svd,20,50,10,200,0.971617420169246,0.8377192982456139,0.9921135352152127
124,X_bot_svd,20,50,15,100,0.9712772920660153,0.8377192982456141,0.9917198344278113
125,X_bot_svd,20,50,15,200,0.9712749544158212,0.8402834008097166,0.9913245775108152
126,X_bot_svd,20,100,5,100,0.9705923605591659,0.8453441295546558,0.9897528866203977
127,X_bot_svd,20,100,5,200,0.9699097667025107,0.8427800269905532,0.9893560735738074
128,X_bot_svd,20,100,10,100,0.9699109355276077,0.8454116059379218,0.9889592605272167
129,X_bot_svd,20,100,10,200,0.9709359951376877,0.8479757085020243,0.9897482182316143
130,X_bot_svd,20,100,15,100,0.9699085978774138,0.8402159244264507,0.9897466621020199
131,X_bot_svd,20,100,15,200,0.9709348263125908,0.8428475033738192,0.9905356198064176
132,X_bot_svd,20,250,5,100,0.9675183505540229,0.8246963562753036,0.9893576297034018
133,X_bot_svd,20,250,5,200,0.9682009444106783,0.8272604588394061,0.9897497743612087
134,X_bot_svd,20,250,10,100,0.9692295104960493,0.8246963562753036,0.9913292458995986
135,X_bot_svd,20,250,10,200,0.9675195193791202,0.8195681511470985,0.9901465874077993
136,X_bot_svd,20,250,15,100,0.9685445789892,0.8247638326585693,0.9905418443247955
137,X_bot_svd,20,250,15,200,0.9685457478142971,0.822132253711201,0.990935545112197
138,X_bot_svd,20,500,5,100,,,
139,X_bot_svd,20,500,5,200,,,
140,X_bot_svd,20,500,10,100,,,
141,X_bot_svd,20,500,10,200,,,
142,X_bot_svd,20,500,15,100,,,
143,X_bot_svd,20,500,15,200,,,
144,X_bot_svd_cos,5,50,5,100,0.965815372387676,0.7729419703103912,0.9952709221623977
145,X_bot_svd_cos,5,50,5,200,0.9658177100378701,0.7704453441295546,0.9956661790793937
146,X_bot_svd_cos,5,50,10,100,0.9651351161812147,0.7703778677462887,0.9948787775045906
147,X_bot_svd_cos,5,50,10,200,0.9644501846743652,0.7601889338731443,0.9956646229497993
148,X_bot_svd_cos,5,50,15,100,0.9661578381411005,0.762685560053981,0.9972425383585944
149,X_bot_svd_cos,5,50,15,200,0.9654752442844453,0.7601889338731443,0.996848837571193
150,X_bot_svd_cos,5,100,5,100,0.9654740754593483,0.8011470985155196,0.9905434004543899
151,X_bot_svd_cos,5,100,5,200,0.9661578381411005,0.8089068825910932,0.9901465874077994
